,count,total_length,coverage_percent,status
Bipartite G4,0,0,0.0,Not Found
Bulged G4,0,0,0.0,Not Found
Canonical G4,0,0,0.0,Not Found
Imperfect G4,0,0,0.0,Not Found
Multimeric G4,0,0,0.0,Not Found
Relaxed G4,0,0,0.0,Not Found
G-Triplex,0,0,0.0,Not Found
AC-Motif,0,0,0.0,Not Found
i-Motif,0,0,0.0,Not Found
Curved DNA,0,0,0.0,Not Found
Z-DNA,0,0,0.0,Not Found
eGZ (Extruded-G),0,0,0.0,Not Found
Cruciform,0,0,0.0,Not Found
R-Loop,0,0,0.0,Not Found
Slipped DNA,0,0,0.0,Not Found
Sticky DNA,0,0,0.0,Not Found
Triplex DNA,0,0,0.0,Not Found
Hybrid,0,0,0.0,Not Found
Non-B DNA Clusters,0,0,0.0,Not Found
